fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220925 063328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	252	TRUE	838609	0.0429609066433572	0.770934823229396	599	734	7891	26860000	98
20220925 063549	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	192	TRUE	838609	0.0429541953480797	0.632958944122384	445	207	8001	26640000	99
20220925 063740	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	838609	0.0453896520651083	0.814324351458972	564	426	6223	26040000	100
20220925 064029	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	332	TRUE	838609	0.0417302106282724	0.87619608281833	684	356	8060	26680000	101
20220925 064127	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	189	TRUE	838609	0.0699817715198179	0.518301349545238	2229	17	9723	26800000	102
20220925 064154	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	838609	0.0672512081936853	0.690578893416671	2041	19	8497	26450000	103
20220925 064313	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	223	TRUE	838609	0.0698033830406134	0.366003750514686	1844	542	9461	26280000	104
20220925 064354	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	838609	0.0655378151094152	0.51124148762249	2956	82	9689	25910000	105
20220925 064651	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	518	TRUE	838609	0.0102971018783538	0.304259489766452	2884	18	7863	2.7e+07	106
20220925 064919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	371	TRUE	838609	0.0113495342216294	0.344350643350235	2772	17	8509	26910000	107
20220925 065434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	852	TRUE	838609	0.0101377522992896	0.973796013893429	670	79	7669	26750000	108
20220925 065508	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	838609	0.0731134078215572	0.624436389171847	1890	127	10400	26320000	109
20220925 065722	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	347	TRUE	838609	0.0150213869677135	0.325759693598248	3873	109	7850	27020000	110
20220925 070002	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	425	TRUE	838609	0.0115440635156283	0.278263421772138	3641	22	7925	26390000	111
20220925 070205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	270	TRUE	838609	0.0159507493629214	0.334938284386586	3241	34	7802	26880000	112
20220925 070353	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	262	TRUE	838609	0.0178639976181994	0.3408188920678	4159	470	7944	26760000	113
20220925 070732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	429	TRUE	838609	0.00808382666290952	0.283357916505936	2351	114	8910	26580000	114
20220925 070951	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	365	TRUE	838609	0.0153550505260215	0.319671626039845	3785	945	8476	27050000	115
20220925 071226	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	477	TRUE	838609	0.0152455691535221	0.326724014998923	4040	213	9256	26690000	116
20220925 071443	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	336	TRUE	838609	0.01476723363237	0.320911414648093	3298	412	7965	26870000	117
20220925 071749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	518	TRUE	838609	0.0107721742118642	0.222621895636612	3099	760	10014	26140000	118
20220925 071950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	220	TRUE	838609	0.0155816552546487	0.393950330012936	4055	929	7756	26250000	119
20220925 072148	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	360	TRUE	838609	0.0212747590885929	0.284887981972218	3759	947	8690	26620000	120
20220925 072621	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	497	TRUE	838609	0.0107389209641988	0.313257354396543	1097	141	7242	27040000	121
20220925 072739	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	116	TRUE	838609	0.0270462230068862	0.271806195919058	1800	865	8904	26680000	122
20220925 072844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	83	TRUE	838609	0.0463600700429756	0.769419783514377	1009	519	8383	26360000	123
20220925 073050	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	348	TRUE	838609	0.016758228886303	0.289353177392032	3826	154	8452	26460000	124
20220925 073301	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	261	TRUE	838609	0.0271571236610215	0.337150164954695	1222	366	8004	26560000	125
20220925 073547	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	204	TRUE	838609	0.0132279768188261	0.301950770694489	1175	866	7916	26730000	126
20220925 073853	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	615	TRUE	838609	0.0149174795861554	0.341288198550403	3925	91	6383	26040000	127
20220925 073942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	838609	0.0694969965575276	0.539732896479394	1493	138	8864	26200000	128
20220925 074307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	618	TRUE	838609	0.00990885245860319	0.837405615419059	913	41	8219	26930000	129
20220925 074444	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	838609	0.0533681577063659	0.95234642446454	560	435	7785	26670000	130
