fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	num_threads	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221001 052524	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	838609	2	0.0556940133168934	0.787217310187011	5310	234	8498	26290000	94
20221001 052656	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	235	TRUE	838609	2	0.0488068401945229	0.989385778906823	5715	182	8179	26130000	95
20221001 052807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	131	TRUE	838609	2	0.0449671282764369	0.800721182375584	5471	169	9783	26440000	96
20221001 053010	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	365	TRUE	838609	2	0.0455578485034587	0.797565603401994	5844	275	6016	25570000	97
20221001 053252	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	514	TRUE	838609	2	0.0373761488894153	0.967183562819719	5910	207	7999	26490000	98
20221001 053450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	342	TRUE	838609	2	0.0456637242211272	0.961117953990206	5889	127	8083	26640000	99
20221001 053611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	186	TRUE	838609	2	0.0477764491316034	0.801539026809471	5918	182	8219	26130000	100
20221001 053827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	414	TRUE	838609	2	0.0425905127845385	0.949147952176185	5953	116	8393	26660000	101
20221001 053928	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	838609	2	0.042951122625727	0.972361197057267	5024	202	8053	26220000	102
20221001 054026	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	86	TRUE	838609	2	0.047094660484802	0.966183704760596	6408	200	8055	25970000	103
20221001 054147	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	178	TRUE	838609	2	0.0463472674290323	0.753941057840737	5747	255	7752	25780000	104
20221001 054312	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	185	TRUE	838609	2	0.0475021549226942	0.635521646445243	6089	220	7615	26130000	105
20221001 054455	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	242	TRUE	838609	2	0.0350841955028897	0.966632899964773	5663	222	8360	26400000	106
20221001 054622	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	226	TRUE	838609	2	0.0520350567280579	0.798857831259877	6494	285	8120	26400000	107
20221001 054747	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	184	TRUE	838609	2	0.0414725468345611	0.970972104288722	5690	87	8315	26010000	108
20221001 055023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	498	TRUE	838609	2	0.0436164503774021	0.677185122607765	6011	270	7608	26550000	109
20221001 055201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	254	TRUE	838609	2	0.0498824027398027	0.671638879512274	5170	240	7606	26310000	110
20221001 055237	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	838609	2	0.151254471454625	0.792741637549875	7008	959	7812	25820000	111
20221001 055413	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	269	TRUE	838609	2	0.0563990662585513	0.674848471739492	6177	203	7641	26400000	112
20221001 055500	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	107	TRUE	838609	2	0.15501284427817	0.829770177192276	5801	835	7747	25470000	113
20221001 055528	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	838609	2	0.153796141352244	0.757975972741384	5675	937	8265	26190000	114
20221001 055734	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	210	TRUE	838609	2	0.0190083772666293	0.965248840864893	5358	143	8457	25970000	115
20221001 055842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	838609	2	0.0427510753131477	0.943668562826398	5662	210	8100	25880000	116
20221001 060055	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	128	TRUE	838609	2	0.0214695279896504	0.797770941021852	1565	167	13572	24060000	117
20221001 060223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	124	TRUE	838609	2	0.14713720425675	0.355433145894855	926	550	6908	25470000	118
20221001 060251	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	838609	2	0.2086863015163	0.876846983570047	5839	726	8851	25900000	119
20221001 060327	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	838609	2	0.246807914435468	0.414232269651629	1488	494	6507	24990000	120
20221001 060357	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	838609	2	0.219686449581898	0.987930851219595	6345	238	14387	24110000	121
20221001 060501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	838609	2	0.0533592219500135	0.790452707220556	6394	255	10113	26020000	122
20221001 060602	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	838609	2	0.14824186096205	0.454633495421521	728	365	11041	25200000	123
20221001 060641	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	21	TRUE	838609	2	0.117901731849301	0.842788148166426	1405	706	14438	22890000	124
20221001 060731	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122	TRUE	838609	2	0.169055442753551	0.82819362298055	5678	946	7929	26230000	125
20221001 060757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	838609	2	0.205816855751752	0.745464295922603	6039	1017	8077	25770000	126
20221001 060821	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	838609	2	0.278889410000859	0.971110296405626	6411	131	8383	25560000	127
20221001 060918	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	838609	2	0.0781919352996254	0.781553487917711	5952	253	8152	26260000	128
20221001 061026	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142	TRUE	838609	2	0.0545179267962837	0.79019950984231	5647	281	8042	26320000	129
20221001 061434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	743	TRUE	838609	2	0.0347910558075722	0.676745812731997	5850	238	7655	26930000	130
20221001 061518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	838609	2	0.0907741129970247	0.78269670490434	6239	994	8337	25970000	131
20221001 061611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	141	TRUE	838609	2	0.160968744146263	0.824609736392302	6627	926	8214	26060000	132
20221001 061716	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	838609	2	0.0649559348007669	0.833885372740519	6546	923	7851	26060000	133
20221001 061817	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	119	TRUE	838609	2	0.0631644738136664	0.780114831917437	5931	214	9763	26320000	134
20221001 061925	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	138	TRUE	838609	2	0.0560040986709874	0.6791263494991	5529	188	8599	26010000	135
20221001 062031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	838609	2	0.045353889906109	0.811480690340023	6717	241	8465	26110000	136
20221001 062151	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	241	TRUE	838609	2	0.0933410761992517	0.796049657751363	6644	157	9881	26640000	137
20221001 062335	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	251	TRUE	838609	2	0.0438939828402898	0.810518631391458	6931	195	9840	27040000	138
20221001 062416	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	838609	2	0.0715265481023794	0.820910569805496	6598	203	9856	25810000	139
20221001 062544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	208	TRUE	838609	2	0.0385433896936278	0.802322660337368	7443	190	10648	26550000	140
20221001 062641	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	838609	2	0.0609871089029573	0.979524784372625	5746	211	8229	25790000	141
20221001 062815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	241	TRUE	838609	2	0.039804212784104	0.793646685226774	7238	170	9839	26170000	142
20221001 062852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	838609	2	0.209224602248595	0.204077738754824	7476	61	11782	25080000	143
20221001 062924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	838609	2	0.284873956691541	0.3178648773605	6141	266	6892	24780000	144
20221001 063047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	139	TRUE	838609	2	0.0578960323829541	0.382423658221588	7958	539	5465	24510000	145
20221001 063113	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	838609	2	0.26113007481847	0.658164216671139	3180	466	10713	25300000	146
20221001 063153	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	838609	2	0.163714404018545	0.222676484026946	1333	1013	6545	25070000	147
20221001 063254	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	79	TRUE	838609	2	0.0532111636724812	0.982503968032263	3485	623	5931	25100000	148
20221001 063321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	838609	2	0.200707371673908	0.787817154558562	3383	646	14364	24320000	149
20221001 063352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	838609	2	0.184440286749064	0.905597179065645	2288	653	6560	24240000	150
20221001 063501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	10	TRUE	838609	2	0.0973710127622832	0.788640350543708	327	986	13193	24180000	151
20221001 063534	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	838609	2	0.206078025124532	0.868324242545664	3978	405	6799	25370000	152
20221001 063626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	838609	2	0.232210375318729	0.2169688578384	3539	403	6910	25060000	153
20221001 063717	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	838609	2	0.130177857726911	0.341084034186229	2284	526	6266	26350000	154
20221001 063842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	838609	2	0.0947754726489296	0.354968600991555	256	216	12379	24130000	155
20221001 063920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	838609	2	0.271150059474007	0.844454275481962	5770	171	11410	25420000	156
20221001 063950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	838609	2	0.134954427189379	0.931142324816994	5599	1019	11866	25470000	157
20221001 064222	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	182	TRUE	838609	2	0.143389232654989	0.333371035947464	421	641	12428	24190000	158
20221001 064333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	156	TRUE	838609	2	0.059498632132951	0.809646418610385	5668	191	10694	26460000	159
